,BEST4+ enterocyte,enterocyte of epithelium proper of ileum,enterocyte of epithelium proper of duodenum,"CD4-positive, alpha-beta T cell",intestinal crypt stem cell of small intestine,paneth cell of epithelium of small intestine,"activated CD8-positive, alpha-beta T cell",natural killer cell,neutrophil,enterocyte of epithelium proper of small intestine,small intestine goblet cell,"activated CD4-positive, alpha-beta T cell",plasma cell,macrophage,"CD8-positive, alpha-beta T cell",enterocyte of epithelium proper of jejunum,B cell,enteroendocrine cell of small intestine,intestinal tuft cell,fibroblast,gamma-delta T cell,enteroglial cell,innate lymphoid cell,myeloid dendritic cell,endothelial cell of venule,"naive thymus-derived CD4-positive, alpha-beta T cell",mast cell,endothelial cell of lymphatic vessel,endothelial cell of arteriole,pericyte,transit amplifying cell of small intestine,monocyte,myofibroblast cell,regulatory T cell
Faecalibacterium prausnitzii,-0.49860968997823163,0.2875167029871205,-0.181432402092455,0.4465826380497524,0.03565869099797435,0.33111397216325883,0.5704501039656474,-0.21265765938621659,-0.019781139267721654,0.12729867820288096,0.611265395710303,-0.047514815382133646,-0.02835110878470215,0.29344217266674255,-0.023168617713171274,0.19575776486928498,-0.31546122629043805,0.814298982766979,-0.25431276909282097,0.0534741888029375,0.1402556892473716,0.7238064403070387,-0.247453734279822,0.7451112406436253,0.37715304633060676,0.2751285973269738,-0.14539010610538664,0.32134237261142207,-0.06704598672594,0.5299983759595237,-0.1413186087323199,0.1160524516631748,-0.016581926403951452,-0.14625688872809842
Anaerobutyricum hallii,0.3723959450723743,0.31063762422289004,0.5127030596702992,-0.38396253246245016,0.4692512107023131,0.9016346716070681,0.01450767324691593,0.7185445836326909,0.07105161838205203,-0.26172292126839203,0.05831026727796132,0.4644611903025827,-0.1014529446994594,-0.03010159770194612,0.3280618296879573,0.15091803502157186,0.32538688574602226,0.22134886222750075,0.29388759586547186,0.020309644257137688,0.21951928260911774,-0.12821190170878008,0.5365300867510165,-0.040282415045194114,0.4886542462648168,0.07991791170514037,0.21059970322719637,0.001510634732789784,-0.1547986293504087,-0.37342811628159045,-0.16659724757773783,0.05282734403522345,0.2135637536486652,0.453113793984979
Agathobacter rectalis,0.01627276206094533,-0.11458822928015219,-0.2828144358008138,0.29401908537123117,0.564958354598803,0.5298990803868866,0.3629798244441712,0.3415629951802797,0.6592871339128022,0.24962443842504314,0.3438389028072515,0.053764841444400274,-0.2586130112564272,-0.05515467014987288,0.14725228843960342,0.16823561175039084,0.7278857564566179,0.1743831502773206,0.5036530332076931,0.019476827527105195,0.056497234270429755,-0.2487022911670345,-0.07269840386297155,0.3080944174091259,0.15226805411824,0.43288158596917015,0.20437618450351508,0.04426388050867745,0.7944890591360877,0.12182892938608583,0.49890029091159116,0.029637238036596694,0.36287984381506994,0.42840469774550605
Megamonas rupellenesis,0.2125475911726742,-0.5563448768089806,0.1554757382568339,0.5191380143279926,0.3082442499083191,0.28375166256877393,-0.36667708018725564,-0.06613652120251767,0.2734072893454317,0.2731149830360676,0.5144000340398708,0.1065399734561717,0.2717472260021443,0.1549122725793881,-0.14608282095046707,-0.5267373993284242,0.279302907639023,0.2021841625238434,-0.03545251263005067,-0.3357519169547595,0.33892185432262145,0.07022397774133439,0.31706241671044366,0.7092145591235275,-0.49242926409591137,-0.05988024261070915,0.08718731600642601,0.5864478522439952,-0.34092090576194545,0.7307583077041814,0.19075677046988715,0.12119980147984252,0.09058207103432807,0.019121090345991354
Lactiplantibacillus plantarum,0.4644350277807464,-0.17055622622473163,0.25362425449315606,0.034745500287907335,-0.07864003455422938,0.9257925527051687,0.275715220426038,0.3339796633983431,0.4913330342005987,-0.2764049835955642,0.6756875727366095,-0.6026871535485226,-0.08062992301155616,0.012290498046329895,0.32451700949115175,0.2156154798424463,0.09995557779048203,0.14640079661168284,-0.14340690705677048,-0.29916971834525197,0.36795348670081807,0.3581118337608556,0.6253483125471175,-0.0870051290445624,0.3578445630902768,0.06488798149058046,0.5071424955580446,0.45658883300344244,0.213362819767337,0.04814095300020403,0.43827965358247845,0.3440713569769697,-0.0553321206258548,-0.2483396020438293
Enterococcus faecalis,0.06344012979546114,0.6046241446044627,0.4939461476199115,-0.18369824090117423,-0.2003272247699763,0.5324051549038459,-0.19069077142734872,0.30278859709260236,-0.0348213646008971,0.6351134773565047,-0.08112743974136366,0.4930084590617484,0.20545759621810938,0.22565845627028602,-0.44109257440542027,-0.5108740059617155,0.08383021791980581,0.22407181902498352,-0.18755934832131696,-0.17660802314290266,0.3184417889478399,0.31885634413713915,0.10867768188362188,0.3840605163558225,-0.20226068871604394,0.043219524873908774,0.6443632817351019,0.17049663898194525,0.1878937543760998,0.8417839757903219,-0.2698026497546312,0.3889291099926331,0.6491958839424299,0.052542622050436166
Butyrivibrio fibrisolvens,0.4078892360564538,-0.14460584916327143,-0.05601971867020547,0.2654899248142903,0.38957000193317703,0.48628095372187374,0.6208885760818479,0.12976603243344537,0.5080835265517764,0.04730854696525531,0.42062739347648037,0.21224663935565452,0.2837033721245772,0.2770523622066112,-0.3314115029393436,-0.18723655765823197,0.1807624319452567,-0.35618372389235053,0.3993633309599267,0.4114667898864426,0.24815116586333708,-0.18634020382737662,0.5640416816605545,0.7611631919155073,0.19412304823379217,0.3031606135353709,0.21052159643881316,0.3091107566996398,0.11413237301208118,0.139630728046859,0.42171528014920956,0.8536872485689322,-0.27002137032052165,0.11885625467910993
Bacteroides thetaiotaomicron,-0.20413814556962465,0.627607469572825,-0.026321390795969513,-0.28296023813573823,0.341456099654572,0.6732933344229334,0.3490793605682288,0.21143936318457515,0.27274227683279817,0.5744521988476664,-0.11225978100424497,0.11644586877410612,0.014192955447139999,-0.20035959218751306,0.051487422174959274,0.4823163287947345,0.3199806445178176,0.34329315003246014,0.19394268349599547,0.3069971348185766,-0.09017710270443163,0.05714703422183122,0.207601271090603,0.23325475766456705,0.24605635647656188,0.10849941539508662,0.036772979660901095,1.0973313849132893,0.4220361818797196,0.2739442427857867,0.08003745053808181,0.01463435191683704,0.1107598218819133,0.237848653076005
Escherichia coli,-0.41413066321892433,-0.32081687861240504,-0.04106471668168726,0.21214183103357054,0.07821805585444458,0.5934363678298452,-0.2947190360987306,-0.07540364088101109,0.6060275222973304,0.18933579740254405,0.4154527748403475,0.765374082980839,-0.05814132537054678,0.12020569866239038,0.06827192972073852,-0.43637790134498267,0.05688095887320928,0.4143186562141996,0.3121768625436723,0.335724950816403,0.037347305808150155,-0.04682917080169241,0.5307767015695861,0.0008048560926991466,0.2382246116379642,0.19900040420326154,0.5885151048771354,0.4414237073017079,-0.23857758620013622,-0.206265950032512,0.32367294542074027,0.13069870578625004,0.013448464813870825,0.4546883651983412
Bifidobacterium dentium,0.20623781462667323,0.16573721606683317,0.3839485922265149,0.03746730151693066,0.6205556956417662,-0.08641428696990242,0.3470787199026264,0.5801498515979534,-0.26318864678163,0.04699944724426523,0.49266221786566733,0.4971733643193075,0.09855131988352822,-0.07040132810305783,0.4367807466992286,0.5050647307744814,-0.19939900455371842,-0.21117409468991408,0.21757700459507984,0.3388081900286676,0.060279274430983534,0.35378814599470476,-0.06304098205121464,-0.48440807972212063,0.022829678300221173,0.16896964395393035,0.06724801203106304,-0.19758097909784553,-0.3946946927636452,-0.0042266413103693445,0.4192967314949231,0.5268592318241047,0.5063140152415365,-0.0947728605445659
